J12 Pin,ALINX Signal,ZU2CG Ball,ServoHIL Rev.A Net,Notes
1,GND,-,GND,
2,VCC5V,-,NC,do not consume board power
3,IO1_1N,F7,HL_TX0,ZU2CG -> Local FPGA
4,IO1_1P,G8,HL_TX1,
5,IO1_2N,F6,HL_TX2,
6,IO1_2P,G6,HL_TX3,
7,IO1_3N,D9,HL_TX4,
8,IO1_3P,E9,HL_TX5,
9,IO1_4N,F5,HL_TX6,
10,IO1_4P,G5,HL_TX7,
11,IO1_5N,E8,HL_TX_CLK,source-synchronous clock output from ZU2CG
12,IO1_5P,F8,HL_SYNC,
13,IO1_6N,D5,SPARE_GC0,GC-capable reserve
14,IO1_6P,E5,SPARE_GC1,GC-capable reserve
15,IO1_7N,C4,HL_RX_CLK,GC-capable input to ZU2CG
16,IO1_7P,D4,SPARE_GC2,GC-capable reserve
17,IO1_8N,E3,HL_RX0,Local FPGA -> ZU2CG
18,IO1_8P,E4,HL_RX1,
19,IO1_9N,F1,HL_RX2,
20,IO1_9P,G1,HL_RX3,
21,IO1_10N,E2,HL_RX4,
22,IO1_10P,F2,HL_RX5,
23,IO1_11N,D6,HL_RX6,GC/QBC-capable but used as data
24,IO1_11P,D7,HL_RX7,GC/QBC-capable but used as data
25,IO1_12N,B9,HL_IRQ,
26,IO1_12P,C9,HL_SAFE_N,
27,IO1_13N,A4,HL_RESET_N,
28,IO1_13P,B4,HL_HEARTBEAT,
29,IO1_14N,B6,TRIG0,
30,IO1_14P,C6,TRIG1,
31,IO1_15N,A6,DBG0,
32,IO1_15P,A7,DBG1,
33,IO1_16N,B8,SPARE0,
34,IO1_16P,C8,SPARE1,
35,IO1_17N,A8,SPARE2,
36,IO1_17P,A9,SPARE3,
37,GND,-,GND,
38,GND,-,GND,
39,VCC_3V3_BUCK4,-,NC,J12 I/O bank is 1.8 V; do not connect
40,VCC_3V3_BUCK4,-,NC,J12 I/O bank is 1.8 V; do not connect
