J12 Pin,AXU2CGB Signal,ServoHIL Rev.A Net
1,GND,GND
2,VCC5V,NC
3,IO1_1N,HL_RX_CLK
4,IO1_1P,HL_TX_CLK
5,IO1_2N,HL_TX0
6,IO1_2P,HL_TX1
7,IO1_3N,HL_TX2
8,IO1_3P,HL_TX3
9,IO1_4N,HL_TX4
10,IO1_4P,HL_TX5
11,IO1_5N,HL_TX6
12,IO1_5P,HL_TX7
13,IO1_6N,HL_RX0
14,IO1_6P,HL_RX1
15,IO1_7N,HL_RX2
16,IO1_7P,HL_RX3
17,IO1_8N,HL_RX4
18,IO1_8P,HL_RX5
19,IO1_9N,HL_RX6
20,IO1_9P,HL_RX7
21,IO1_10N,HL_SYNC
22,IO1_10P,HL_IRQ
23,IO1_11N,HL_SAFE_N
24,IO1_11P,HL_RESET_N
25,IO1_12N,HL_HEARTBEAT
26,IO1_12P,TRIG0
27,IO1_13N,TRIG1
28,IO1_13P,DBG0
29,IO1_14N,DBG1
30,IO1_14P,DBG2
31,IO1_15N,DBG3
32,IO1_15P,SPARE0
33,IO1_16N,SPARE1
34,IO1_16P,SPARE2
35,IO1_17N,SPARE3
36,IO1_17P,SPARE4
37,GND,GND
38,GND,GND
39,3V3,NC
40,3V3,NC
