net,connector,pin
DAC_SCLK,J12,3
DAC_LDAC_N,J12,4
DAC_CS0_N,J12,5
DAC_CS1_N,J12,6
DAC_CS2_N,J12,7
DAC_CS3_N,J12,8
DAC_SDIO0,J12,9
DAC_SDIO1,J12,10
DAC_SDIO2,J12,11
DAC_SDIO3,J12,12
DAC_SDIO4,J12,13
DAC_SDIO5,J12,14
DAC_SDIO6,J12,15
DAC_SDIO7,J12,16
DAC_ALERT0_N,J12,17
DAC_ALERT1_N,J12,18
DAC_ALERT2_N,J12,19
DAC_ALERT3_N,J12,20
ADC_DOUT0,J12,21
ADC_DOUT1,J12,22
ADC_DOUT2,J12,23
ADC_DOUT3,J12,24
ADC_DOUT4,J12,25
ADC_DOUT5,J12,26
ADC_DOUT6,J12,27
ADC_DOUT7,J12,28
ADC_SCLK,J12,29
ADC_CS_N,J12,30
ADC_SDI,J12,31
ADC_CONVST,J12,32
ADC_BUSY,J12,33
ADC_RESET,J12,34
PWM_UH,J15,3
PWM_UL,J15,4
PWM_VH,J15,5
PWM_VL,J15,6
PWM_WH,J15,7
PWM_WL,J15,8
ENC0_IO0,J15,9
ENC0_IO1,J15,10
ENC0_IO2,J15,11
ENC0_IO3,J15,12
ENC0_DIR0,J15,13
ENC0_DIR1,J15,14
ENC1_IO0,J15,15
ENC1_IO1,J15,16
ENC1_IO2,J15,17
ENC1_IO3,J15,18
ENC1_DIR0,J15,19
ENC1_DIR1,J15,20
AUX_IO0,J15,21
AUX_IO1,J15,22
AUX_IO2,J15,23
AUX_IO3,J15,24
AUX_IO4,J15,25
AUX_IO5,J15,26
RS485_TX,J15,27
RS485_RX,J15,28
RS485_DE,J15,29
MGMT_SCL,J15,30
MGMT_SDA,J15,31
HIL_ARM,J15,32
HIL_WDI,J15,33
HIL_FAULT_N,J15,34
