connector,pin,board_signal,soc_ball,bank_group,voltage,kind,source
J12,1,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,2,VCC5V,,,5,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,3,IO1_1N,F7,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,4,IO1_1P,G8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,5,IO1_2N,F6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,6,IO1_2P,G6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,7,IO1_3N,D9,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,8,IO1_3P,E9,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,9,IO1_4N,F5,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,10,IO1_4P,G5,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,11,IO1_5N,E8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,12,IO1_5P,F8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,13,IO1_6N,D5,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,14,IO1_6P,E5,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,15,IO1_7N,C4,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,16,IO1_7P,D4,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,17,IO1_8N,E3,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,18,IO1_8P,E4,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,19,IO1_9N,F1,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,20,IO1_9P,G1,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,21,IO1_10N,E2,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,22,IO1_10P,F2,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,23,IO1_11N,D6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,24,IO1_11P,D7,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,25,IO1_12N,B9,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,26,IO1_12P,C9,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,27,IO1_13N,A4,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,28,IO1_13P,B4,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,29,IO1_14N,B6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,30,IO1_14P,C6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,31,IO1_15N,A6,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,32,IO1_15P,A7,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,33,IO1_16N,B8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,34,IO1_16P,C8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,35,IO1_17N,A8,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,36,IO1_17P,A9,66,1.8,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,37,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,38,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,39,VCC_3V3_BUCK4,,,3.3,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J12,40,VCC_3V3_BUCK4,,,3.3,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,1,GND,,,0,ground,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,2,VCC5V,,,5,power,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,3,IO2_1N,A11,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,4,IO2_1P,A12,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,5,IO2_2N,A13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,6,IO2_2P,B13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,7,IO2_3N,A14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,8,IO2_3P,B14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,9,IO2_4N,E13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,10,IO2_4P,E14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,11,IO2_5N,A15,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,12,IO2_5P,B15,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,13,IO2_6N,C13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,14,IO2_6P,C14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,15,IO2_7N,B10,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,16,IO2_7P,C11,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,17,IO2_8N,D14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,18,IO2_8P,D15,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,19,IO2_9N,F11,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,20,IO2_9P,F12,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,21,IO2_10N,H13,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,22,IO2_10P,H14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,23,IO2_11N,G14,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,24,IO2_11P,G15,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,25,IO2_12N,F10,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,26,IO2_12P,G11,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
J15,27,IO2_13N,H12,25/26,3.3,gpio,ALINX_AXU2CG_UG_REV1_20210408_PP20_22
