net,connector,pin,schematic_ref,soc_ball,port,direction,iostandard,bank_group
DAC_SCLK,J12,3,J12,F7,dac_sclk,output,LVCMOS18,66
DAC_LDAC_N,J12,4,J12,G8,dac_ldac_n,output,LVCMOS18,66
DAC_CS0_N,J12,5,J12,F6,dac_cs0_n,output,LVCMOS18,66
DAC_CS1_N,J12,6,J12,G6,dac_cs1_n,output,LVCMOS18,66
DAC_CS2_N,J12,7,J12,D9,dac_cs2_n,output,LVCMOS18,66
DAC_CS3_N,J12,8,J12,E9,dac_cs3_n,output,LVCMOS18,66
DAC_SDIO0,J12,9,J12,F5,dac_sdio0,inout,LVCMOS18,66
DAC_SDIO1,J12,10,J12,G5,dac_sdio1,inout,LVCMOS18,66
DAC_SDIO2,J12,11,J12,E8,dac_sdio2,inout,LVCMOS18,66
DAC_SDIO3,J12,12,J12,F8,dac_sdio3,inout,LVCMOS18,66
DAC_SDIO4,J12,13,J12,D5,dac_sdio4,inout,LVCMOS18,66
DAC_SDIO5,J12,14,J12,E5,dac_sdio5,inout,LVCMOS18,66
DAC_SDIO6,J12,15,J12,C4,dac_sdio6,inout,LVCMOS18,66
DAC_SDIO7,J12,16,J12,D4,dac_sdio7,inout,LVCMOS18,66
DAC_ALERT0_N,J12,17,J12,E3,dac_alert0_n,input,LVCMOS18,66
DAC_ALERT1_N,J12,18,J12,E4,dac_alert1_n,input,LVCMOS18,66
DAC_ALERT2_N,J12,19,J12,F1,dac_alert2_n,input,LVCMOS18,66
DAC_ALERT3_N,J12,20,J12,G1,dac_alert3_n,input,LVCMOS18,66
ADC_DOUT0,J12,21,J12,E2,adc_dout0,input,LVCMOS18,66
ADC_DOUT1,J12,22,J12,F2,adc_dout1,input,LVCMOS18,66
ADC_DOUT2,J12,23,J12,D6,adc_dout2,input,LVCMOS18,66
ADC_DOUT3,J12,24,J12,D7,adc_dout3,input,LVCMOS18,66
ADC_DOUT4,J12,25,J12,B9,adc_dout4,input,LVCMOS18,66
ADC_DOUT5,J12,26,J12,C9,adc_dout5,input,LVCMOS18,66
ADC_DOUT6,J12,27,J12,A4,adc_dout6,input,LVCMOS18,66
ADC_DOUT7,J12,28,J12,B4,adc_dout7,input,LVCMOS18,66
ADC_SCLK,J12,29,J12,B6,adc_sclk,output,LVCMOS18,66
ADC_CS_N,J12,30,J12,C6,adc_cs_n,output,LVCMOS18,66
ADC_SDI,J12,31,J12,A6,adc_sdi,output,LVCMOS18,66
ADC_CONVST,J12,32,J12,A7,adc_convst,output,LVCMOS18,66
ADC_BUSY,J12,33,J12,B8,adc_busy,input,LVCMOS18,66
ADC_RESET,J12,34,J12,C8,adc_reset,output,LVCMOS18,66
PWM_UH,J15,3,J15,A11,pwm_uh,input,LVCMOS33,25/26
PWM_UL,J15,4,J15,A12,pwm_ul,input,LVCMOS33,25/26
PWM_VH,J15,5,J15,A13,pwm_vh,input,LVCMOS33,25/26
PWM_VL,J15,6,J15,B13,pwm_vl,input,LVCMOS33,25/26
PWM_WH,J15,7,J15,A14,pwm_wh,input,LVCMOS33,25/26
PWM_WL,J15,8,J15,B14,pwm_wl,input,LVCMOS33,25/26
ENC0_IO0,J15,9,J15,E13,enc0_io0,inout,LVCMOS33,25/26
ENC0_IO1,J15,10,J15,E14,enc0_io1,inout,LVCMOS33,25/26
ENC0_IO2,J15,11,J15,A15,enc0_io2,inout,LVCMOS33,25/26
ENC0_IO3,J15,12,J15,B15,enc0_io3,inout,LVCMOS33,25/26
ENC0_DIR0,J15,13,J15,C13,enc0_dir0,output,LVCMOS33,25/26
ENC0_DIR1,J15,14,J15,C14,enc0_dir1,output,LVCMOS33,25/26
ENC1_IO0,J15,15,J15,B10,enc1_io0,inout,LVCMOS33,25/26
ENC1_IO1,J15,16,J15,C11,enc1_io1,inout,LVCMOS33,25/26
ENC1_IO2,J15,17,J15,D14,enc1_io2,inout,LVCMOS33,25/26
ENC1_IO3,J15,18,J15,D15,enc1_io3,inout,LVCMOS33,25/26
ENC1_DIR0,J15,19,J15,F11,enc1_dir0,output,LVCMOS33,25/26
ENC1_DIR1,J15,20,J15,F12,enc1_dir1,output,LVCMOS33,25/26
AUX_IO0,J15,21,J15,H13,aux_io0,inout,LVCMOS33,25/26
AUX_IO1,J15,22,J15,H14,aux_io1,inout,LVCMOS33,25/26
AUX_IO2,J15,23,J15,G14,aux_io2,inout,LVCMOS33,25/26
AUX_IO3,J15,24,J15,G15,aux_io3,inout,LVCMOS33,25/26
AUX_IO4,J15,25,J15,F10,aux_io4,inout,LVCMOS33,25/26
AUX_IO5,J15,26,J15,G11,aux_io5,inout,LVCMOS33,25/26
RS485_TX,J15,27,J15,H12,rs485_tx,output,LVCMOS33,25/26
RS485_RX,J15,28,J15,J12,rs485_rx,input,LVCMOS33,25/26
RS485_DE,J15,29,J15,J14,rs485_de,output,LVCMOS33,25/26
MGMT_SCL,J15,30,J15,K14,mgmt_scl,inout,LVCMOS33,25/26
MGMT_SDA,J15,31,J15,K12,mgmt_sda,inout,LVCMOS33,25/26
HIL_ARM,J15,32,J15,K13,hil_arm,output,LVCMOS33,25/26
HIL_WDI,J15,33,J15,L13,hil_wdi,output,LVCMOS33,25/26
HIL_FAULT_N,J15,34,J15,L14,hil_fault_n,input,LVCMOS33,25/26
