reference,value,symbol,dnp,footprint,status
J12,J12 / PURCHASED HOST boundary,HOST_J12,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J15,J15 / PURCHASED HOST boundary,HOST_J15,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J1,EXTERNAL BENCH RAILS ONLY,SUPPLY_INTERFACE,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J2,EXTERNAL INDEPENDENT SAFETY - NOT IMPLEMENTED HERE,SAFETY_INTERFACE,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
R1,10k default RESET asserted,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J3,RESERVED MODULE INTERFACE - PHY/ADC NOT POPULATED,J3_INTERFACE,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J4,RESERVED MODULE INTERFACE - PHY/ADC NOT POPULATED,J4_INTERFACE,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
U20,AD3542RBCPZ16 / package review OPEN,AD3542R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C300,DNP C0G CFB0 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
C301,DNP C0G CFB1 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
R300,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
R301,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C302,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C303,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C304,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C305,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C306,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C307,100nF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
U21,AD3542RBCPZ16 / package review OPEN,AD3542R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C320,DNP C0G CFB0 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
C321,DNP C0G CFB1 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
R320,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
R321,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C322,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C323,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C324,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C325,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C326,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C327,100nF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
U22,AD3542RBCPZ16 / package review OPEN,AD3542R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C340,DNP C0G CFB0 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
C341,DNP C0G CFB1 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
R340,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
R341,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C342,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C343,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C344,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C345,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C346,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C347,100nF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
U23,AD3542RBCPZ16 / package review OPEN,AD3542R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C360,DNP C0G CFB0 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
C361,DNP C0G CFB1 REVIEW,C,true,,REVIEW_ONLY_NOT_FOR_PURCHASE
R360,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
R361,52.3R START,R,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C362,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C363,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C364,1uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C365,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C366,4.7uF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
C367,100nF,C,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
J5,AO0..AO7 - NOT MCU-safe without adapter,AO_INTERFACE,false,,REVIEW_ONLY_NOT_FOR_PURCHASE
